category,subtype,value,co2e
consumption,home-goods,1283.1949829311725,36.379
food,beef,0.6196980045664175,16.731
travel,bus,333.7664636149099,35.347
energy,renewable,566.2847097529334,7.606
food,beef,0.5630131838094641,15.2134
consumption,clothing,0.6389547109903133,0.0188
food,fish,2.9623757909041104,14.391
consumption,services,7428.096660653553,74.964
travel,flight-short,109.38733974791408,27.694
energy,natural_gas,446.5095895470097,203.616
food,fish,1.8003371194617122,8.337
food,other,1.209695453976783,3.089
consumption,clothing,108.9857426019376,2.745
food,vegetarian,2.860236964825911,6.076
consumption,electronics,8562.085249224778,598.454
food,vegan,1.8865512280278625,2.5
consumption,electronics,685.9176434439539,47.501
travel,train,308.309731030567,13.096
food,red-meat,1.7261227418398748,46.71
consumption,clothing,1.035516728927121,-0.0003
energy,natural_gas,245.4103995501084,111.652
energy,renewable,223.1389434434221,2.7
food,fish,0.6501829208874561,3.717
travel,train,119.38729466090324,5.474
travel,train,361.4040316281401,15.252
energy,renewable,474.7807659559766,10.136
food,beef,1.2086698596686989,32.6279
transport,train,1.1203170841257897,0.0455
energy,electricity-grid,0.4110970546068109,0.2682
food,red-meat,0.5133724717355571,14.06
energy,coal,429.7203424663636,447.675
food,vegetarian,2.1228849120771818,4.734
consumption,home-goods,1586.428696182924,47.755
travel,walking,411.2294771395125,0.655
transport,train,1.0239411845518738,0.0403
travel,bus,326.4599055131908,33.941
food,beef,1.646440696196006,44.4437
consumption,home-goods,1484.1498566944815,43.019
energy,renewable,312.87754683256026,7.88
travel,flight-short,251.59531015529004,63.818
food,red-meat,1.6390640383880004,44.693
consumption,electronics,6803.821036028267,475.643
energy,renewable,225.09424029467272,3.884
energy,electricity-grid,697.578143634803,493.436
consumption,services,4497.513586907108,46.832
food,vegan,1.5453267074273278,3.371
food,beef,1.0961790020560045,29.6152
energy,electricity-grid,0.217897936363371,0.1387
travel,motorcycle,2.3527388077505056,0.639
travel,bicycle,37.52476596045337,0.884
consumption,services,1837.946291780465,18.431
food,white-meat,1.2102603730685826,8.912
travel,car-electric,112.58360281365933,5.673
food,beef,1.7646380048017438,47.6519
travel,motorcycle,379.75888692388605,42.192
energy,natural_gas,884.5942488691624,399.668
travel,flight-short,449.12909043091616,114.241
consumption,clothing,1.1316114183309869,0.0367
food,vegan,2.72555167638639,4.204
food,vegan,1.9581904928477416,2.498
consumption,electronics,1046.6847960614325,72.147
consumption,clothing,9046.702515146657,134.746
transport,train,1.1259950141682002,0.0524
energy,coal,447.2678127312618,467.111
transport,car-gasoline,1.0062316055238203,0.1957
energy,coal,18.48071577340121,20.536
food,red-meat,0.6854404889857806,18.724
food,fish,0.8214489462791728,4.655
consumption,services,5408.041674913344,53.156
consumption,other,781.827265813978,16.361
travel,bus,72.76336080709204,7.692
travel,flight-short,477.9564173766554,121.319
energy,coal,859.7857000072539,900.193
energy,coal,19.512702360738952,21.297
energy,coal,120.09123239773278,126.012
food,vegan,2.436682342954496,4.244
travel,car-electric,332.1051486363386,16.245
energy,natural_gas,416.801840786504,187.369
consumption,clothing,6358.307635789081,96.363
consumption,clothing,0.9549757883415286,0.0249
transport,train,0.8185262921356393,0.0388
travel,train,475.7634753705543,19.53
energy,natural_gas,71.62591157618182,30.802
travel,bicycle,295.8257970239364,-0.236
travel,walking,26.766103459381902,0.399
energy,natural_gas,183.48971185542848,83.029
energy,natural_gas,717.4034479037214,322.064
travel,bus,380.0316226472013,39.239
transport,train,0.9511391015620804,0.0404
energy,electricity-grid,0.765463679479976,0.5338
energy,electricity-grid,851.9385483218812,605.453
energy,electricity-grid,501.7743689811036,359.308
travel,motorcycle,2.167355922263352,-0.043
energy,renewable,595.2084114631118,8.948
travel,car-electric,105.666720894157,5.395
energy,renewable,61.84103116639383,-0.542
travel,car-electric,41.59304154030798,1.356
energy,natural_gas,126.44001305861411,57.671
travel,motorcycle,309.12327330423057,34.015
consumption,clothing,1.1549867171053685,0.0392
consumption,services,6314.930280612951,63.772
consumption,services,5273.094138222502,50.032
food,fish,1.6038350259472425,8.779
energy,coal,680.880105472699,714.145
transport,train,1.1067984387430831,0.0425
consumption,services,7188.472786238624,71.031
energy,electricity-grid,1.2109159675349308,0.8536
food,vegetarian,1.8896770354973984,3.688
consumption,clothing,7947.488386562863,118.529
energy,electricity-grid,0.6320368621704398,0.4301
food,vegan,1.3370458617836276,1.708
travel,walking,213.967663763038,0.075
energy,renewable,684.1044126889847,15.341
consumption,home-goods,5687.311832139897,170.526
travel,flight-short,294.1393485128031,74.732
transport,train,0.4579178370638265,0.0003
consumption,other,9329.82488754462,187.629
energy,coal,932.4157934920772,978.591
consumption,services,2512.68597926955,25.67
transport,car-gasoline,1.8638969250672548,0.3482
food,other,1.889780042685801,5.537
consumption,other,5798.470913100377,114.181
food,beef,1.6796582326092806,45.3438
transport,train,0.2149878021916313,0.0041
energy,coal,856.636909359811,896.6
food,other,2.1547539411798216,6.188
travel,walking,273.80200894432096,-0.074
transport,car-gasoline,0.6113131282892292,0.1084
travel,flight-long,129.68595503116794,19.538
travel,motorcycle,239.46134556309897,25.707
consumption,services,9113.245102824116,91.217
travel,car-gasoline,108.80963114083193,21.559
consumption,clothing,1.376661356376202,0.0421
food,white-meat,2.0075346584114704,14.869
consumption,electronics,2786.7917544209786,194.334
energy,electricity-grid,1.07955826893967,0.7689
food,other,1.4340141488351477,4.083
food,vegan,2.464172874694548,4.195
food,vegetarian,2.039315133612932,4.17
travel,bicycle,361.630771891416,-0.386
consumption,other,3901.319768243368,77.349
energy,electricity-grid,783.7165807644114,556.645
travel,bicycle,105.7111554333483,-0.325
travel,flight-short,125.5843364207338,32.708
travel,motorcycle,108.09940855614262,12.02
food,other,1.7479245831566543,4.924
energy,renewable,757.5256952972252,13.04
energy,electricity-grid,0.732926138122711,0.5243
consumption,electronics,8059.86242586315,563.434
energy,electricity-grid,0.707526303634384,0.4857
energy,electricity-grid,1.5037266319580205,1.0652
consumption,services,6802.561899969523,67.844
energy,renewable,566.505574801717,10.211
consumption,electronics,1787.768151280913,124.753
transport,car-gasoline,0.902547977712828,0.1656
consumption,clothing,1.1696998211900045,0.0166
consumption,other,6912.531341528002,138.443
consumption,services,4924.820944786364,47.582
consumption,services,2028.3438763504755,19.716
food,beef,1.1895089447435392,32.1377
transport,car-gasoline,0.8580581707703137,0.1545
energy,coal,737.6725343676343,777.007
consumption,home-goods,7260.807537728154,219.249
food,white-meat,0.922812156610445,6.051
consumption,clothing,1.0884978815955069,0.0048
travel,car-gasoline,121.6842931593254,23.493
energy,natural_gas,316.2176474824724,139.717
consumption,clothing,4840.281692278175,72.585
consumption,clothing,5914.294907848766,88.83
consumption,clothing,5855.184565373305,87.806
food,fish,2.004953382436131,9.947
travel,car-gasoline,209.9664919211445,40.505
travel,bicycle,9.456884779900916,0.336
food,fish,1.888812670156799,9.994
food,vegan,2.8945755436881915,4.556
food,vegetarian,0.6180621912368871,1.045
travel,car-electric,287.1013234719738,13.742
consumption,clothing,4161.373636938745,62.455
energy,electricity-grid,0.6445158597573094,0.4653
food,vegan,1.50313145800932,1.166
travel,flight-long,1.6146857480465178,1.061
energy,electricity-grid,1.195852505876061,0.8559
travel,bicycle,161.4263549226931,-0.349
travel,motorcycle,413.5726150767301,45.437
consumption,services,6954.112852647807,67.632
energy,coal,649.0342704040071,682.309
consumption,services,6556.316406374111,66.53
transport,car-gasoline,0.8176469058511924,0.1616
energy,electricity-grid,242.417261898366,173.674
energy,coal,309.4934730742657,322.909
consumption,clothing,1991.9874196480616,30.358
energy,electricity-grid,629.1052810449329,444.03
travel,motorcycle,400.9670188296118,44.644
transport,train,0.7091210205627702,0.0276
consumption,services,843.9017801583037,9.308
food,other,0.7613197196892356,2.342
consumption,other,9120.389021274728,181.957
travel,bicycle,382.9127842520541,-0.149
energy,electricity-grid,674.6192801263246,476.579
transport,car-gasoline,0.2787652953019509,0.0545
energy,electricity-grid,578.3132215813943,410.896
food,other,1.7610618651585923,5.486
energy,renewable,14.64802378513881,0.648
travel,car-electric,238.62913769771808,11.557
travel,car-electric,174.77947804462687,8.797
consumption,clothing,4439.950967018677,65.814
food,beef,0.550721143864088,14.8775
food,beef,1.0858114277989006,29.3125
food,red-meat,2.9864854680548505,81.45
food,beef,1.2033146141422495,32.4766
travel,bus,30.487851149048385,3.446
consumption,other,8300.358710501681,166.238
transport,car-gasoline,1.1583060606100497,0.2235
consumption,electronics,5116.990242503608,357.517
energy,electricity-grid,202.6399935283944,142.439
food,beef,0.6596086282988185,17.8144
consumption,services,3674.693009002111,36.412
consumption,other,2043.490971911639,41.021
food,beef,0.7205212258964766,19.4539
energy,electricity-grid,391.36439717730747,276.109
travel,motorcycle,173.26634825804436,19.597
travel,train,76.64594232524959,3.749
food,vegan,2.6332119964180047,4.335
food,white-meat,2.040635101427031,13.416
food,vegan,2.7444895159800646,4.463
travel,flight-short,302.14034563163096,77.558
travel,bicycle,334.8251391024001,-0.925
energy,electricity-grid,1.6673912657336034,1.1836
food,other,2.544908735872884,7.675
food,vegan,1.3291446104425435,2.11
consumption,clothing,2775.452962767542,41.011
travel,bicycle,215.01455255165823,-0.346
food,white-meat,1.8513816884723104,13.52
transport,car-gasoline,1.0658231562514588,0.2069
energy,coal,900.3638470908684,946.786
travel,train,336.0680951849363,13.186
travel,motorcycle,41.35561034198164,5.44
travel,walking,347.8771324697493,-0.718
energy,natural_gas,450.8322013476943,206.2
consumption,home-goods,1523.9325240630117,45.226
energy,natural_gas,405.9200352863064,179.824
consumption,clothing,6961.983709489728,103.679
food,beef,1.0917275667152089,29.4632
consumption,clothing,6629.974424754324,99.262
consumption,clothing,8873.00719986175,132.285
transport,train,0.8100261511115009,0.0267
energy,coal,323.77660196467093,343.049
energy,natural_gas,538.8565843076707,243.448
energy,electricity-grid,0.90214996678349,0.6303
travel,flight-short,68.00315060023549,17.333
food,beef,0.5219565758959177,14.0997
travel,bus,93.07598865883227,9.499
food,beef,1.4378603263641092,38.8214
consumption,clothing,3609.960012125574,52.376
energy,natural_gas,696.9922988853236,315.858
energy,coal,739.3523305709601,778.241
energy,electricity-grid,0.8507762622471959,0.5899
energy,natural_gas,937.1718359747572,419.54
transport,train,0.2028254737279294,0.0012
travel,flight-short,290.46432850005783,74.877
energy,electricity-grid,877.4731026797058,619.905
consumption,electronics,3356.176750400367,236.279
energy,electricity-grid,975.4349573170604,690.463
energy,electricity-grid,1.5714570176058222,1.107
energy,coal,521.0232934675536,543.726
energy,electricity-grid,1.4022235388024713,1.0234
energy,coal,805.6268969706863,846.45
transport,car-gasoline,0.6577231199305088,0.1176
consumption,clothing,0.8105682720727974,0.0109
transport,car-gasoline,1.8677082940502732,0.3569
food,red-meat,1.5160157170024886,41.629
energy,natural_gas,890.7677970063805,400.815
food,vegan,2.5566436712010683,3.891
energy,electricity-grid,24.98103980004397,20.587
food,white-meat,1.5758579342226813,10.965
consumption,clothing,1.50022289860416,0.0254
food,vegetarian,2.1268109608345007,4.066
transport,train,0.9160368835568156,0.0411
consumption,clothing,0.8420886972985271,0.0115
travel,flight-long,178.63975065172107,26.187
transport,car-gasoline,1.692873830871026,0.3007
consumption,home-goods,8215.242564519416,245.808
travel,car-electric,19.374111950359698,1.108
consumption,services,860.2055026340083,6.461
travel,car-gasoline,338.37800747579115,66.089
consumption,electronics,4202.611807026206,294.983
consumption,other,9993.681075317154,200.122
consumption,clothing,5582.770485155042,83.853
transport,train,0.0109797480230695,-0.0001
food,fish,1.2871028885218383,6.693
travel,flight-short,80.46362340135298,21.24
food,red-meat,0.6761516941673957,17.788
travel,train,259.1172591643631,10.053
energy,electricity-grid,1.1359389555861323,0.7936
energy,electricity-grid,209.6221045590954,148.566
travel,flight-short,317.41791165678933,80.932
travel,flight-short,432.4398091415633,110.071
energy,electricity-grid,0.9938538209413036,0.7
travel,car-gasoline,104.73524131786763,19.274
consumption,electronics,2310.1334339276154,162.704
consumption,other,6017.20416054726,119.793
travel,motorcycle,323.5829120773273,35.929
food,vegetarian,0.9284957808118812,2.011
travel,car-electric,314.84248054316214,15.722
consumption,home-goods,3947.082101644148,118.851
energy,electricity-grid,873.2357339214634,619.606
consumption,clothing,1204.373001873881,18.195
consumption,electronics,8536.9133310538,596.431
energy,coal,189.605233745671,200.436
energy,electricity-grid,939.7118597822148,666.761
consumption,clothing,0.971711980439915,0.011
energy,renewable,985.189380535584,18.97
energy,natural_gas,441.132954484295,197.889
consumption,electronics,4728.978399021105,330.718
transport,train,1.5827157804362026,0.052
travel,car-gasoline,143.5934039717603,27.494
food,vegan,1.6966121763763122,2.501
travel,car-electric,258.3240344205524,12.913
consumption,electronics,2550.51148706446,178.077
consumption,electronics,2648.212131246486,185.608
travel,bicycle,100.4084221721325,-0.164
travel,flight-short,468.4780399230542,119.033
food,other,2.267008990526263,6.701
travel,motorcycle,25.044820184254817,2.55
energy,natural_gas,543.455134472664,247.421
consumption,electronics,9892.396469904596,691.678
travel,bicycle,98.0846032694652,0.195
food,beef,1.1173264739281896,30.1632
consumption,home-goods,7810.623913768354,234.21
travel,train,26.79672178352196,0.755
consumption,clothing,3062.338326188763,44.356
energy,coal,112.03972890352853,117.014
consumption,services,1310.8806259791368,13.612
food,vegetarian,2.29304807752605,4.897
food,white-meat,1.1639689957684,7.677
food,red-meat,2.9564473074805115,80.56
food,vegetarian,2.338658821494208,4.567
travel,car-gasoline,473.750229543637,91.384
consumption,services,2543.2866871122183,24.079
energy,natural_gas,310.15311386973616,138.649
travel,walking,362.434417368654,-0.216
travel,flight-long,152.66925421912117,22.804
consumption,home-goods,9766.003623198663,292.72
consumption,electronics,3488.52968981954,244.581
food,fish,1.6514563767366663,9.037
travel,bus,295.85557865093267,30.782
travel,flight-long,434.4429608098498,65.52
consumption,clothing,0.9244273713327222,0.0167
transport,train,0.7757781721143191,0.0265
consumption,clothing,1242.9392020914904,18.463
travel,train,237.5110007738475,9.841
food,red-meat,0.8257949702282272,22.843
consumption,electronics,8732.111492011563,612.639
consumption,clothing,2036.869990373383,32.225
food,beef,0.4969418248803812,13.4193
energy,renewable,704.6309806412232,14.361
travel,bus,85.57688059636016,8.815
consumption,clothing,0.2325463636557049,-0.0124
food,other,1.0931359091428432,3.295
food,other,0.5770615467484257,1.723
travel,motorcycle,22.65699086578821,2.914
consumption,electronics,2676.410498612116,189.542
energy,renewable,514.9751127097268,10.086
food,fish,2.86241765910019,15.94
energy,renewable,938.5912536896572,16.038
food,vegetarian,1.2996989416694085,3.423
consumption,clothing,1.028569992174722,0.0133
consumption,home-goods,7629.962286801777,229.072
consumption,services,2623.883649324213,27.969
travel,motorcycle,35.4972603071231,3.458
consumption,clothing,0.830206273386335,0.0121
consumption,electronics,3088.8347831665737,216.871
travel,train,378.6190013386289,15.268
consumption,other,7731.046121781341,154.628
travel,flight-long,280.53094692908104,42.263
energy,electricity-grid,332.6395332311096,233.04
food,vegan,2.9917081948367,4.857
travel,walking,274.91206796459966,-0.192
consumption,home-goods,153.119037354412,3.328
food,fish,1.678304485262671,8.72
travel,walking,157.1187172667099,0.014
consumption,services,146.5185314842701,1.05
travel,car-gasoline,280.3623118421059,53.688
energy,renewable,407.3669748234332,6.409
travel,car-electric,374.66434214469,18.272
consumption,clothing,0.8225902340798399,0.011
transport,car-gasoline,0.9811826206806076,0.2029
consumption,home-goods,7055.652402991238,212.941
travel,flight-long,153.85043589032813,22.994
travel,car-electric,265.93635707525107,14.279
travel,flight-long,390.8796060179053,58.076
travel,walking,126.17940314598394,-0.835
food,vegetarian,0.8639187745830894,1.825
consumption,home-goods,4547.835576969026,138.144
travel,walking,102.58561039563384,-0.014
travel,bus,151.13827659856807,15.342
energy,renewable,391.64183625827127,6.813
consumption,other,7891.783452454929,158.714
food,fish,2.298251522562784,11.526
food,other,1.3142555289442557,4.469
transport,train,0.9929856365266188,0.0335
energy,electricity-grid,1.0978801705846828,0.8003
consumption,clothing,1.1557027685706909,0.0217
transport,train,0.4859648120533896,0.0168
consumption,home-goods,4095.349688659635,122.73
consumption,services,4717.150385200479,46.435
energy,natural_gas,315.5110035222972,139.647
food,white-meat,2.760284151198763,18.846
energy,coal,212.68243610966897,221.52
food,vegan,1.2011376619001384,2.227
consumption,home-goods,1261.575457115676,38.042
energy,renewable,55.45741551038847,1.092
food,red-meat,0.9438947992830568,25.449
food,vegan,2.028737131797998,3.803
energy,electricity-grid,280.13646829189594,198.802
food,red-meat,1.088914836486253,29.322
energy,coal,246.30507531854656,257.545
consumption,other,2317.039721361181,47.231
energy,renewable,250.7229179779609,4.756
travel,car-gasoline,267.19708489618444,51.102
travel,car-electric,175.94319184449188,9.198
energy,electricity-grid,218.69079954376147,154.919
consumption,services,599.4153861665362,6.055
food,vegan,2.981563871132176,3.934
food,vegan,0.9341790923858496,1.923
travel,walking,64.89487363992845,-0.551
consumption,other,7191.717420921497,144.494
energy,coal,374.08448718757256,392.204
food,fish,2.077970195150178,11.324
consumption,clothing,1.3203040733486011,0.0107
food,beef,1.6927033532721407,45.6861
consumption,clothing,7375.984992895043,111.239
consumption,clothing,3060.791919007952,44.152
food,red-meat,2.98149429645415,80.295
transport,train,1.316297602895934,0.0344
energy,renewable,867.1445953036898,20.287
transport,train,1.0074159781156136,0.067
consumption,clothing,5601.112749164568,83.103
energy,natural_gas,408.3702563717565,182.919
energy,electricity-grid,0.4126949252151811,0.2918
travel,bicycle,113.54453107942398,0.222
travel,car-gasoline,173.59285290819085,33.395
food,white-meat,2.946635203344912,20.486
travel,flight-short,258.28241826104585,66.906
food,vegetarian,1.0683051776750685,2.516
consumption,services,4103.180375713026,41.611
travel,train,27.289234152637064,2.418
energy,natural_gas,912.8879996074538,410.402
food,red-meat,1.5957465200829146,42.878
travel,car-electric,272.2328776958803,13.729
travel,flight-short,379.4378145588951,96.089
energy,electricity-grid,999.0504486055412,706.766
travel,car-gasoline,81.65272833321227,16.286
consumption,electronics,129.9170455624482,9.972
food,vegan,0.9117943673574522,1.443
transport,car-gasoline,0.8971135852621218,0.1604
consumption,clothing,2241.4265801584625,34.033
consumption,other,6295.940718844544,125.963
travel,motorcycle,190.82943241216608,20.169
food,vegan,0.5266807196220853,1.097
travel,bus,324.2609055492737,32.538
energy,renewable,588.4124629661987,9.042
travel,walking,465.4479054761788,-0.109
food,fish,1.422544331027932,7.13
energy,coal,11.274211439756336,13.136
energy,electricity-grid,0.4750305297893046,0.3468
energy,renewable,930.711833875608,16.234
energy,renewable,940.9392893896452,16.797
energy,electricity-grid,802.5993826668729,565.39
energy,natural_gas,725.5617972702007,325.099
energy,coal,732.6686480093207,770.124
travel,car-electric,144.23202845428148,7.643
energy,electricity-grid,250.41928378748992,173.96
consumption,home-goods,8287.72501838319,249.971
food,fish,1.2642553395262213,7.52
travel,motorcycle,71.33885413336287,7.63
travel,bus,414.814112859061,43.569
food,beef,1.3199643809963215,35.6444
food,other,2.569812386363281,8.509
food,vegetarian,2.621516379746949,5.222
consumption,electronics,3978.1357162486033,278.921
energy,electricity-grid,458.44239483194434,327.765
transport,car-gasoline,0.2733359585923581,0.0604
travel,train,173.66226725477495,7.151
transport,car-gasoline,0.9760401902742948,0.1712
energy,natural_gas,941.1072117783386,423.226
consumption,services,3746.619773673554,36.63
energy,renewable,361.7136516146962,7.918
food,vegetarian,1.272152248091158,2.943
consumption,services,6563.480875478856,66.313
energy,natural_gas,249.13522513446432,114.836
food,other,0.7527214854355373,2.713
travel,bicycle,283.72110572353785,0.419
transport,car-gasoline,1.6139239224415431,0.2893
energy,renewable,958.1799816846916,19.917
travel,motorcycle,306.2486523709418,33.801
travel,flight-long,380.7996469845359,56.692
travel,motorcycle,46.76036948198206,5.705
consumption,clothing,1.0726711488622378,0.0254
energy,electricity-grid,195.7802247003889,141.625
consumption,services,5507.411678203788,55.512
energy,renewable,20.08010015437211,1.06
food,white-meat,1.8148664422536485,12.047
consumption,electronics,2653.166822603708,183.033
transport,car-gasoline,1.1828702124628123,0.2334
energy,renewable,224.7006632087929,2.696
energy,renewable,96.6333256896529,0.179
energy,electricity-grid,1.100660266271856,0.7904
energy,natural_gas,946.8092791385296,424.681
consumption,electronics,3441.786004148953,240.31
consumption,other,5263.732016273439,108.652
food,white-meat,0.6729354762635429,3.894
food,red-meat,2.694282401742349,72.697
travel,bicycle,284.2028832825175,-0.554
food,red-meat,0.7128590913902053,19.778
food,beef,0.0154277357725878,0.4312
travel,car-electric,131.08656958971565,7.53
travel,train,96.74179503465272,3.311
food,beef,1.0861645610920494,29.3248
food,beef,0.7817364027154271,21.1154
energy,electricity-grid,566.4524064629331,400.189
energy,renewable,908.526117327496,18.534
consumption,electronics,2981.75658547188,208.705
consumption,home-goods,5460.795023305848,162.458
food,vegetarian,2.99724821761543,5.457
transport,car-gasoline,0.7320978800840212,0.1509
food,other,1.0371365160624952,3.522
consumption,other,59.38327314852883,1.013
food,white-meat,0.7420468274680465,4.847
consumption,home-goods,8521.815028494588,256.834
travel,motorcycle,90.09378636511248,9.299
transport,car-gasoline,0.8808354688007716,0.1886
food,red-meat,1.8340423282730272,49.45
travel,bicycle,381.3922069789474,-0.848
consumption,services,5696.484483946783,57.085
food,other,2.74070388040947,8.151
energy,renewable,73.59292199357556,2.357
energy,electricity-grid,182.5415699349284,130.567
energy,natural_gas,296.5282733990395,135.642
food,vegetarian,2.12706987622332,4.563
food,red-meat,2.0192397587440203,53.859
energy,coal,716.2687088481824,754.781
transport,car-gasoline,0.8452826648570697,0.1622
energy,coal,860.8071539670963,905.981
travel,car-gasoline,51.528697392964304,9.947
food,other,1.8882395633204527,6.149
travel,bus,296.5828139680877,31.583
energy,coal,63.502277377232126,64.078
food,vegan,1.120718699077115,2.13
transport,train,1.4883010413018951,0.0784
food,white-meat,1.9070755930365075,13.846
food,other,2.6466801373237403,8.069
energy,renewable,248.15234731128743,4.741
travel,flight-short,495.0531016576736,126.235
travel,flight-long,139.35555720269002,20.519
energy,electricity-grid,486.1612184689429,345.762
travel,train,339.22878695471206,13.132
travel,motorcycle,293.78883166626025,32.646
food,vegan,2.735248840265398,3.807
energy,electricity-grid,851.0019045647733,604.559
travel,flight-short,197.8663775054568,50.302
travel,car-gasoline,212.54846164373768,40.586
energy,electricity-grid,0.9577167676097248,0.6762
food,vegetarian,1.7223773160961302,3.54
consumption,clothing,0.9230442942646356,0.0186
transport,train,0.2913080139537418,0.0154
food,white-meat,0.6355293605149827,4.915
travel,flight-short,380.7578573351407,97.193
food,vegetarian,0.9842926269407446,1.337
consumption,clothing,1.4221483831449413,0.02
food,red-meat,0.9253568504428948,24.065
food,red-meat,1.5657957349767533,42.539
travel,bus,88.87164019396674,8.92
travel,bicycle,294.7770295435286,-0.173
transport,train,0.9677838701500118,0.0427
energy,natural_gas,402.9047343409896,177.498
energy,renewable,581.634262011894,10.335
consumption,services,7058.835164417622,70.06
transport,train,0.7003389380531755,0.0374
energy,renewable,657.0727552368863,10.347
travel,bus,36.55710715486404,3.611
energy,natural_gas,940.5567013144976,422.293
travel,bus,312.42667054673694,32.606
energy,renewable,685.9660975159342,12.778
food,red-meat,1.539435783953935,41.351
consumption,clothing,0.6473304566567265,0.0072
